,r,S1,S2,S3
0,-5.0,1.201699716057547,0.5398627131479259,0.28578763103485016
1,-4.9,1.3750762131690522,0.6315506244777254,0.3574556638830444
2,-4.8,1.5706264819387172,0.7412916501536415,0.4375868665038496
3,-4.7,1.793022321062466,0.8728538146262395,0.527786528347221
4,-4.6,2.0475818558325756,1.0303973806154403,0.6298817968144874
5,-4.5,2.3404536208156372,1.2185473402765865,0.7459850265799304
6,-4.4,2.6788604543228445,1.4424892960250872,0.8785820043999735
7,-4.3,3.071424612913873,1.7081017766137307,1.030658404092506
8,-4.2,3.528613609759674,2.0221454358440525,1.205885260138686
9,-4.1,4.063395268753013,2.392546043291645,1.4089010492429281
10,-4.0,4.692362609484945,2.8288565463101776,1.6457909717007624
11,-3.9,5.438603297785775,3.3433140277405755,1.9252383524842713
12,-3.8,6.332695567041682,3.9511644233722762,2.258858137196455
13,-3.7,7.408042580321279,4.66905151998678,2.659239294615972
14,-3.6,8.700119764448687,5.514776321970501,3.139600513092418
15,-3.5,10.246562436112356,6.50735865213889,3.7137118000318026
16,-3.4,12.087316814768073,7.66708587421158,4.395789807464041
17,-3.3,14.264889615883547,9.015566546872947,5.2003391909672985
18,-3.2,16.824714451768415,10.575798546486098,6.141922169592007
19,-3.1,19.8156841604641,12.372288953315959,7.234820626286449
20,-3.0,23.290966148645367,14.431345526205845,8.492492336215648
21,-2.9,27.30983838660927,16.782118106566145,9.926360644650245
22,-2.8,31.93805550507821,19.45690486014344,11.545448697204392
23,-2.7,37.24423144651831,22.48893787122975,13.358180192527527
24,-2.6,43.298356442241584,25.91160050750696,15.372496969269292
25,-2.5,50.17035456656271,29.7578024521882,17.59558053867198
26,-2.4,57.92802738229287,34.059098824240834,20.033476989802935
27,-2.3,66.63417477240358,38.84444157748288,22.69058220748967
28,-2.2,76.34251094264681,44.13834296614698,25.568914442772595
29,-2.1,87.09156478142165,49.957998620970784,28.667006903872263
30,-2.0,98.89423093441408,56.30807957473553,31.977959976227837
31,-1.9,111.71205352835798,63.16741913464938,35.48450605401423
32,-1.8,125.44691767507095,70.48439772736242,39.15749495495926
33,-1.7,139.9828474801874,78.19829657000565,42.9641742364377
34,-1.6,155.19323841716064,86.24287118205237,46.86967494597347
35,-1.5,170.94105494777776,94.54629776093492,50.83713712925625
36,-1.4,187.07908275470376,103.03113992195907,54.827865567054474
37,-1.3,203.45020530759055,111.61441066271698,58.80158346449632
38,-1.2,219.88763825889194,120.20767927946787,62.716738448871396
39,-1.1,236.21496770737608,128.71730653146554,66.531013397991
40,-1.0,252.2455262879246,137.0446542027773,70.20217229469024
41,-0.9,267.7789082367992,145.0856832910113,73.69009352412719
42,-0.8,282.60054147253936,152.73183812758708,76.95781830223494
43,-0.7,296.49085002565323,159.87353861245293,79.96901458560133
44,-0.6,309.2281507491208,166.40134045297714,82.68770241908341
45,-0.5,320.59034024778634,172.20665555036447,85.07846402623089
46,-0.4,330.35670538423994,177.18246754424717,87.10665244434789
47,-0.3,338.309857361157,181.22404251543674,88.73859870419544
48,-0.2,344.23778938012356,184.2296348468479,89.9418175543333
49,-0.1,347.9360578769205,186.10118824258558,90.68521177952452
50,0.0,349.2100873332944,186.74503190520352,90.93927476723819
51,0.1,347.9360578769205,186.10118824258558,90.68521177952452
52,0.2,344.23778938012356,184.2296348468479,89.9418175543333
53,0.3,338.309857361157,181.22404251543674,88.73859870419544
54,0.4,330.35670538423994,177.18246754424717,87.10665244434789
55,0.5,320.59034024778634,172.20665555036447,85.07846402623089
56,0.6,309.2281507491208,166.40134045297714,82.68770241908341
57,0.7,296.49085002565323,159.87353861245293,79.96901458560133
58,0.8,282.60054147253936,152.73183812758708,76.95781830223494
59,0.9,267.7789082367992,145.0856832910113,73.69009352412719
60,1.0,252.2455262879246,137.0446542027773,70.20217229469024
61,1.1,236.21496770737608,128.71730653146554,66.531013397991
62,1.2,219.88763825889194,120.20767927946787,62.716738448871396
63,1.3,203.45020530759055,111.61441066271698,58.80158346449632
64,1.4,187.07908275470376,103.03113992195907,54.827865567054474
65,1.5,170.94105494777776,94.54629776093492,50.83713712925625
66,1.6,155.19323841716064,86.24287118205237,46.86967494597347
67,1.7,139.9828474801874,78.19829657000565,42.9641742364377
68,1.8,125.44691767507095,70.48439772736242,39.15749495495926
69,1.9,111.71205352835798,63.16741913464938,35.48450605401423
70,2.0,98.89423093441408,56.30807957473553,31.977959976227837
71,2.1,87.09156478142165,49.957998620970784,28.667006903872263
72,2.2,76.34251094264681,44.13834296614698,25.568914442772595
73,2.3,66.63417477240358,38.84444157748288,22.69058220748967
74,2.4,57.92802738229287,34.059098824240834,20.033476989802935
75,2.5,50.17035456656271,29.7578024521882,17.59558053867198
76,2.6,43.298356442241584,25.91160050750696,15.372496969269292
77,2.7,37.24423144651831,22.48893787122975,13.358180192527527
78,2.8,31.93805550507821,19.45690486014344,11.545448697204392
79,2.9,27.30983838660927,16.782118106566145,9.926360644650245
80,3.0,23.290966148645367,14.431345526205845,8.492492336215648
81,3.1,19.8156841604641,12.372288953315959,7.234820626286449
82,3.2,16.824714451768415,10.575798546486098,6.141922169592007
83,3.3,14.264889615883547,9.015566546872947,5.2003391909672985
84,3.4,12.087316814768073,7.66708587421158,4.395789807464041
85,3.5,10.246562436112356,6.50735865213889,3.7137118000318026
86,3.6,8.700119764448687,5.514776321970501,3.139600513092418
87,3.7,7.408042580321279,4.66905151998678,2.659239294615972
88,3.8,6.332695567041682,3.9511644233722762,2.258858137196455
89,3.9,5.438603297785775,3.3433140277405755,1.9252383524842713
90,4.0,4.692362609484945,2.8288565463101776,1.6457909717007624
91,4.1,4.063395268753013,2.392546043291645,1.4089010492429281
92,4.2,3.528613609759674,2.0221454358440525,1.205885260138686
93,4.3,3.071424612913873,1.7081017766137307,1.030658404092506
94,4.4,2.6788604543228445,1.4424892960250872,0.8785820043999735
95,4.5,2.3404536208156372,1.2185473402765865,0.7459850265799304
96,4.6,2.0475818558325756,1.0303973806154403,0.6298817968144874
97,4.7,1.793022321062466,0.8728538146262395,0.527786528347221
98,4.8,1.5706264819387172,0.7412916501536415,0.4375868665038496
99,4.9,1.3750762131690522,0.6315506244777254,0.3574556638830444
100,5.0,1.201699716057547,0.5398627131479259,0.28578763103485016
